,Site.Code,Year,note
188,08BEA3747,2005,No pebble counts
292,08CED2898,2005,No pebble counts
651,08EVA3813,2005,No pebble counts
2582,VashChris,2005,"Not in database, on datasheet"
2602,VashShing,2005,"Not in database, on datasheet"
529,08EAS2546,2006,No pebble counts
548,08EAS2546,2007,No pebble counts
1182,08LIT2781,2007,"Not in database, on datasheet"
2572,VashChris,2009,"Data in DB, called VASHCHRIS"
2593,VashShing,2009,"Data in DB, called VASHSHING"
1858,09COV1862,2010,"data in DB, called 09COV1862/10"
1873,09COV1864,2010,"data in DB, called 09COV1864/10"
2039,09JEN1357,2010,"data in DB, called 09JEN1357/10"
2573,VashChris,2010,"Data in DB, called VASHCHRIS"
2590,VashShing,2010,"Data in DB, called VASHSHING"
10,02O,2011,"Not in database, on datasheet"
36,02P,2011,"Not in database, on datasheet"
92,08BEA3474,2011,"fixed, Data in DB, called 08EVA3474_11"
2282,Miller_Cove,2011,"Not in database, no datasheet found"
2512,28A,2011,"Not in database, on datasheet"
2605,WalkerPreserve,2011,"Not in database, no datasheet found"
279,08CED2711,2012,"Not in database, no datasheet found"
716,08ISS3962,2012,"Not in database, no datasheet found"
885,08LAK3121,2012,"Not in database, no datasheet found"
992,08LAK3699,2012,"Not in database, no datasheet found"
1073,08LIT2602,2012,"Not in database, no datasheet found"
1234,08NOR1750,2012,"Not in database, no datasheet found"
1288,08SAM0000,2012,"Not in database, no datasheet found"
1580,08WES1340,2012,"Not in database, no datasheet found"
280,08CED2711,2013,"Not in database, no datasheet found"
717,08ISS3962,2013,"Not in database, no datasheet found"
893,08LAK3121,2013,"Not in database, no datasheet found"
993,08LAK3699,2013,"Not in database, no datasheet found"
1074,08LIT2602,2013,"Not in database, no datasheet found"
1289,08SAM0000,2013,"Not in database, no datasheet found"
1581,08WES1340,2013,"Not in database, no datasheet found"
2562,Miller_Cove,2013,"Not in database, no datasheet found"
2563,Miller_SWSSD,2013,"Not in database, no datasheet found"
2607,WalkerPreserve,2013,"Not in database, no datasheet found"
16,02O,2014,"Not in database, no datasheet found"
42,02P,2014,"Not in database, no datasheet found"
774,08ISS4724,2014,"Not in database, on datasheet"
2268,09MIL0390,2014,"fixed, called 09mil0390_14"
2519,28A,2014,"Not in database, on datasheet"
2554,Miller_SWSSD,2014,"in DB, called MILLER_SWSSD"
1137,08LIT2685,2015,No pebble counts
2520,28A,2015,"Not in database, on datasheet"
2555,Miller_SWSSD,2015,"in DB, called MILLER_SWSSD"
97,08BEA3474,2016,No pebble counts
2537,02O,2018,CAO
18,02O,2019,CAO
21,02O,2020,CAO
24,02O,2021,CAO
2565,02P,2018,CAO
44,02P,2019,CAO
47,02P,2020,CAO
50,02P,2021,CAO
86,08BEA3321,2020,"Not in database, data on datasheet"
99,08BEA3474,2018,"Not in database, data on datasheet"
284,08CED2711,2017,fixed
324,08CED4192,2017,fixed
740,08ISS4294,2017,fixed
795,08ISS4730,2017,fixed
864,08ISS4884,2021,"Not in database, no datasheet found"
865,08LAK2827,2017,fixed
959,08LAK3627,2017,fixed
1000,08LAK3699,2017,fixed
1078,08LIT2602,2017,fixed
1100,08LIT2603,2017,fixed
1218,08NOR1370,2017,fixed
1239,08NOR1750,2017,fixed
1372,08SAM2862,2017,fixed
1503,08WES0903,2020,"Not in database, no datasheet found"
1549,08WES1037,2020,No pebble counts
1553,08WES1037,2021,No pebble counts
1679,09BLA0722,2017,fixed
1717,09BLA0768,2017,fixed
1844,09COV1756,2018,No pebble counts
2438,09SOO1130,2017,fixed
2599,VashShing,2017,fixed
2600,VashShing,2018,fixed
2594,VashShing,2019,fixed
2601,VashShing,2020,fixed
2604,VashShing,2021,fixed
